capture,M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
qwen-1.7b-1,12,12288,2048,bf16,N,T,212,-606603175,0.05427,0.05533,1.0195
qwen-1.7b-1,12,2048,6144,bf16,N,T,214,-606623170,0.03603,0.15402,4.2744
qwen-1.7b-1,8192,2048,6144,bf16,N,T,201,-606603216,1.52170,1.71009,1.1238
qwen-1.7b-1,24,12288,2048,bf16,N,T,212,-606603226,0.05910,0.06416,1.0855
qwen-1.7b-1,24,151936,2048,bf16,N,T,203,-606603175,0.60503,0.76647,1.2668
qwen-1.7b-1,24,2048,2048,bf16,N,T,212,-606603190,0.01789,0.01818,1.0161
qwen-1.7b-1,24,2048,6144,bf16,N,T,214,-606603151,0.03757,0.15418,4.1039
qwen-1.7b-1,256,2048,2048,bf16,N,T,212,-606623194,0.03654,0.03632,0.9939
qwen-1.7b-1,8192,2048,2048,bf16,N,T,201,-606603216,0.55850,0.58263,1.0432
qwen-1.7b-1,23,4096,2048,bf16,N,T,212,-606603175,0.02298,0.02640,1.1490
qwen-1.7b-1,256,12288,2048,bf16,N,T,203,-606603211,0.12061,0.33162,2.7495
qwen-1.7b-1,23,2048,2048,bf16,N,T,212,-606623131,0.01738,0.02573,1.4807
qwen-2.7b,11,14336,5120,bf16,N,T,214,-606603151,0.13114,0.23335,1.7794
qwen-2.7b,11,5120,17408,bf16,N,T,214,-606603226,0.14547,0.31329,2.1535
qwen-2.7b,256,14336,5120,bf16,N,T,203,-606603158,0.35962,0.42510,1.1821
qwen-2.7b,256,5120,17408,bf16,N,T,212,-606623169,0.50734,0.77345,1.5245
qwen-2.7b,8192,34816,5120,bf16,N,T,201,-606623119,22.17027,29.81475,1.3448
qwen-2.7b,8192,14336,5120,bf16,N,T,201,-606623196,9.11196,16.32553,1.7917
qwen-2.7b,256,248320,5120,bf16,N,T,201,-606623169,6.09406,8.87455,1.4563
qwen-2.7b,8192,5120,6144,bf16,N,T,201,-606623196,3.78685,5.14319,1.3582
qwen-2.7b,256,34816,5120,bf16,N,T,201,-606603158,0.82107,0.88776,1.0812
qwen-2.7b,112,34816,5120,bf16,N,T,203,-606603199,0.53476,2.02819,3.7927
qwen-2.7b,112,5120,17408,bf16,N,T,212,-606623153,0.31188,0.32676,1.0477
qwen-2.7b,11,5120,6144,bf16,N,T,214,-606623206,0.05376,0.05507,1.0244
qwen-2.7b,256,5120,6144,bf16,N,T,212,-606623214,0.18647,0.22304,1.1962
qwen-2.7b,8192,16384,5120,bf16,N,T,201,-606603216,10.57899,20.95434,1.9807
qwen-2.7b,112,5120,6144,bf16,N,T,212,-606623194,0.11911,0.14685,1.2329
qwen-2.7b,11,248320,5120,bf16,N,T,212,-606603226,1.99571,2.93794,1.4721
qwen-2.7b,12,96,5120,bf16,N,T,214,-606603222,0.01642,0.05965,3.6335
qwen-2.7b,8192,96,5120,bf16,N,T,212,-606623211,0.13165,0.13309,1.0109
qwen-2.7b,12,5120,6144,bf16,N,T,214,-606623170,0.05427,0.05386,0.9923
qwen-2.7b,12,34816,5120,bf16,N,T,214,-606623155,0.28429,0.28532,1.0036
qwen-2.7b,112,16384,5120,bf16,N,T,212,-606603198,0.23904,0.31885,1.3339
qwen-2.7b,11,16384,5120,bf16,N,T,214,-606623206,0.14855,0.23994,1.6153
qwen-2.7b,12,16384,5120,bf16,N,T,214,-606603152,0.14688,0.24074,1.6390
qwen-2.7b,12,5120,17408,bf16,N,T,214,-606623206,0.14675,0.31735,2.1625
qwen-2.7b,256,16384,5120,bf16,N,T,203,-606623197,0.37412,0.45383,1.2131
qwen-2.7b,12,14336,5120,bf16,N,T,214,-606623170,0.13015,0.23415,1.7991
qwen-2.7b,112,96,5120,bf16,N,T,214,-606603222,0.01725,0.06695,3.8813
qwen-2.7b,112,14336,5120,bf16,N,T,212,-606623178,0.22682,0.30660,1.3517
qwen-2.7b,256,96,5120,bf16,N,T,214,-606603222,0.02157,0.06675,3.0950
qwen-2.7b,12,248320,5120,bf16,N,T,203,-606603169,1.98714,2.94517,1.4821
qwen-2.7b,11,34816,5120,bf16,N,T,214,-606623206,0.28436,0.28615,1.0063
qwen-2.7b,8192,5120,17408,bf16,N,T,201,-606603216,10.33995,13.25395,1.2818
qwen-2.7b,11,96,5120,bf16,N,T,214,-606623202,0.01619,0.05863,3.6205
