M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
421,520,29291,bf16,T,N,502,-606605481,0.18850,0.18829,0.9989,4,51,297.1,0,1.0122
226,1158,28,bf16,N,N,166,-606605179,0.00826,0.00811,0.9822,4,816,136.2,0,1.0007
2482,13567,1277,bf16,T,N,231,-606605573,0.80906,0.90003,1.1124,4,12,217.1,0,1.0048
8,27350,1056,fp16,T,N,249,-606622868,0.06721,0.11293,1.6802,4,84,872.7,0,1.0031
1023,729,311,fp32,T,T,82,-606620798,0.02410,0.03285,1.3631,4,265,214.2,0,1.0011
354,134,9611,fp32,N,N,556,-606605146,0.11636,0.27557,2.3683,4,37,162.9,0,0.9960
834,1018,640,bf16,T,N,231,-606605583,0.02129,0.02867,1.3465,4,277,270.9,0,1.0056
707,12977,21732,fp16,T,N,245,-606603120,3.29337,4.54698,1.3806,4,5,191.7,0,1.0361
18,16944,183,fp32,N,N,556,-606627848,0.01613,0.02012,1.2474,4,394,845.4,0,0.9904
1237,457,30198,fp16,N,T,68,-606604779,0.64519,0.65059,1.0084,4,16,162.1,0,1.0050
105,284,20179,bf16,N,T,64,-606623202,0.10979,0.33116,3.0163,4,32,144.1,0,1.0041
401,323,37,fp32,N,N,556,-606605144,0.00889,0.00813,0.9153,4,893,70.4,0,1.0032
15003,115,6833,fp16,N,N,97,-606603416,0.32710,0.77091,2.3568,4,13,652.7,0,0.9886
524,567,247,fp32,N,T,612,-606608169,0.01112,0.01453,1.3059,4,499,203.8,0,0.9998
9457,12982,16790,bf16,T,T,39,-606619916,33.57125,72.55692,2.1613,4,5,37.1,0,1.0077
37,2601,7,fp16,N,T,62,-606627732,0.00808,0.00766,0.9491,4,929,52.2,0,1.0144
28557,3758,1481,bf16,T,T,39,-606619916,3.33062,4.13109,1.2403,4,5,157.6,0,1.0008
6,1618,4363,bf16,T,T,4,-354,0.28789,0.47481,1.6493,4,21,49.4,0,0.9978
8435,3836,3542,fp32,T,T,82,-606620788,6.52655,6.75680,1.0353,4,5,46.5,0,1.0085
1970,1228,20932,fp16,T,N,386,-606602947,1.00204,1.03102,1.0289,4,10,143.3,0,1.0045
3155,15065,11514,fp16,N,T,62,-606627760,16.21706,16.98556,1.0474,4,5,37.6,0,0.9991
5762,5396,917,bf16,N,T,57,-606623199,0.68964,1.22697,1.7791,4,9,210.0,0,1.0049
888,820,14015,fp32,N,T,616,-606618184,0.67472,0.95361,1.4133,4,11,146.2,0,1.0029
1485,13293,9235,fp32,T,T,82,-606620772,10.45952,10.87880,1.0401,4,5,59.7,0,1.0082
11868,11138,14352,bf16,N,T,57,-606603218,56.68790,54.87325,0.9680,4,5,21.0,0,1.0001
19812,59,2597,bf16,N,N,176,-606605264,0.15576,0.16471,1.0575,4,57,692.6,0,1.0040
1927,1407,11446,fp32,T,T,82,-606620814,1.94275,1.94221,0.9997,4,6,84.2,0,1.0242
15758,487,1020,fp16,T,T,53,-606629618,0.22932,1.09153,4.7599,4,10,278.4,0,0.9994
3428,189,1856,fp16,N,T,68,-606627668,0.04141,0.13852,3.3447,4,72,386.8,0,1.0011
2746,23840,2137,fp32,T,T,82,-606620794,7.90210,8.09929,1.0250,4,5,61.9,0,1.0098
2226,5822,76,bf16,T,T,39,-606619914,0.17415,0.18110,1.0399,4,55,304.7,0,0.9996
2229,4772,13604,fp32,T,T,82,-606620796,8.58187,8.52484,0.9934,4,5,49.3,0,1.0423
17566,14328,232,bf16,T,N,441,-606605646,1.80997,2.06306,1.1398,4,5,564.4,0,0.9915
1775,7086,1106,fp16,N,T,62,-606604827,0.35010,0.58320,1.6658,4,17,199.7,0,1.0014
819,23700,4675,bf16,T,T,39,-606619907,2.01967,2.02908,1.0047,4,5,152.0,0,1.0088
4,2257,9,fp32,T,T,82,-606620761,0.00839,0.00799,0.9515,4,967,14.0,0,0.9993
186,27322,3426,fp32,T,N,519,-606604052,1.07160,1.08947,1.0167,4,10,370.8,0,1.0020
1615,24071,1563,bf16,T,N,231,-606605573,1.14800,3.55027,3.0926,4,5,205.4,0,1.0134
15110,8,232,fp16,N,T,227,-606627724,0.01441,0.02259,1.5675,4,382,520.4,0,1.0025
447,416,626,fp16,T,T,88,-606629612,0.01449,0.03263,2.2523,4,267,125.9,0,1.0113
7348,1126,3792,bf16,N,T,57,-606603181,0.56940,0.57580,1.0112,4,18,171.0,0,1.0033
1240,6308,200,bf16,N,N,273,-606629837,0.06801,0.10342,1.5207,4,91,504.5,0,1.0037
28,212,689,fp32,N,N,562,-606605146,0.00875,0.00857,0.9797,4,577,78.3,0,1.0005
3358,16266,16588,bf16,T,N,231,-606605573,15.11775,14.24298,0.9421,4,5,57.5,0,1.0817
123,55,2125,bf16,T,N,244,-606605534,0.01444,0.05594,3.8751,4,115,54.3,0,0.9604
22706,2220,3524,bf16,T,N,332,-606605573,2.85137,3.10751,1.0898,4,5,132.3,0,1.0189
1629,6755,209,fp16,N,T,62,-606627717,0.12072,0.18429,1.5266,4,53,393.6,0,1.0032
5299,2392,147,bf16,T,T,39,-606619903,0.09743,0.11244,1.1541,4,87,543.6,0,1.0141
50,2,55,fp16,N,N,43,-606624224,0.00881,0.01063,1.2061,4,491,0.7,0,0.9986
1238,30,57,fp16,T,N,245,-606602992,0.00875,0.00935,1.0689,4,489,33.5,0,1.0165
5,943,430,fp32,N,T,612,-606618321,0.00867,0.00825,0.9515,4,766,190.2,0,1.0036
2291,8661,2078,fp16,T,N,245,-606622990,0.72358,0.76934,1.0632,4,13,172.6,0,0.9965
1598,123,98,bf16,N,N,166,-606605260,0.00834,0.01197,1.4350,4,569,134.7,0,0.9997
1291,1934,16091,fp16,N,T,68,-606604870,1.14467,1.64185,1.4343,4,7,99.4,0,1.0029
24361,11319,6473,bf16,T,T,39,-606619916,29.92893,48.89040,1.6335,4,5,52.3,0,1.0038
14,102,27,fp32,T,T,82,-606620797,0.00803,0.00779,0.9708,4,877,2.3,0,0.9981
57,9399,8366,fp32,T,T,82,-606620791,0.41799,0.93949,2.2476,4,11,762.2,0,1.0068
8,75,968,bf16,T,N,238,-606605540,0.01197,0.01145,0.9565,4,460,13.6,0,1.0048
653,13848,125,fp32,N,T,614,-606602122,0.10744,0.13056,1.2152,4,75,404.1,0,1.0126
7934,2060,570,fp16,T,T,88,-606629608,0.25474,1.07222,4.2090,4,10,301.4,0,1.0171
13317,59,2465,bf16,T,N,244,-606605556,0.09643,0.13902,1.4417,4,71,716.5,0,1.0016
352,287,364,bf16,T,T,39,-606619899,0.01038,0.00963,0.9285,4,611,83.8,0,1.0032
167,2742,1168,fp16,N,T,68,-606627668,0.03034,0.09645,3.1784,4,100,284.3,0,1.0059
19840,756,2997,bf16,T,T,39,-606619923,0.78727,0.78987,1.0033,4,13,233.0,0,1.0308
3545,19,687,bf16,T,T,39,-606619899,0.01640,0.03207,1.9555,4,274,315.0,0,0.9920
6641,1225,7389,fp32,T,T,82,-606620788,3.50054,3.61507,1.0327,4,5,75.7,0,1.0129
2599,16539,7339,bf16,T,T,39,-606619916,5.74332,8.18329,1.4248,4,5,78.8,0,1.0020
154,511,89,fp32,T,N,519,-606624684,0.00881,0.00784,0.8890,4,906,62.6,0,1.0105
30,17101,24,fp32,N,T,612,-606618239,0.00949,0.00836,0.8803,4,792,389.3,0,1.0016
83,131,463,fp32,T,T,82,-606620815,0.01466,0.02229,1.5202,4,291,30.0,0,1.0036
180,4420,143,bf16,N,T,57,-606603193,0.01483,0.01750,1.1804,4,439,303.3,0,1.0073
6581,9787,80,fp16,N,T,62,-606627717,0.45872,0.54763,1.1938,4,18,567.3,0,1.0030
1346,341,499,bf16,T,T,39,-606619899,0.01744,0.01743,0.9996,4,441,201.9,0,1.0106
118,69,16993,fp16,N,N,103,-606624108,0.04287,0.90670,21.1517,4,11,149.0,0,0.9985
7452,4116,9606,bf16,T,N,332,-606630824,4.66096,4.83885,1.0382,4,5,74.0,0,1.0664
1201,2539,985,fp16,N,T,62,-606604827,0.10032,0.12959,1.2918,4,74,195.0,0,0.9716
27305,4497,3213,fp16,T,N,245,-606603079,6.30337,6.44167,1.0219,4,5,110.3,0,1.0694
134,260,2408,fp16,T,N,392,-606602887,0.02859,0.07034,2.4606,4,126,71.3,0,0.9644
310,20,322,bf16,T,T,39,-606619899,0.00978,0.00879,0.8989,4,555,24.3,0,1.0105
2553,17,5447,bf16,N,N,176,-606629919,0.04818,0.28795,5.9771,4,34,584.8,0,1.0074
1693,7432,822,bf16,T,N,441,-606630827,0.21452,0.25784,1.2019,4,39,304.5,0,1.0182
2884,709,2653,bf16,N,N,174,-606605264,0.14012,0.18139,1.2945,4,52,194.4,0,1.0020
1198,8943,442,fp16,T,N,245,-606603069,0.14176,0.82412,5.8133,4,13,365.5,0,1.0002
4866,8479,10131,bf16,N,N,166,-606629966,7.14755,11.08208,1.5505,4,5,60.9,0,1.0173
1453,1580,1475,fp16,T,T,53,-606629607,0.09792,0.11345,1.1586,4,86,185.2,0,1.0023
7683,2470,5288,fp16,N,T,62,-606627711,1.88600,3.59785,1.9077,4,5,97.2,0,1.0024
3416,14903,1676,fp16,T,N,245,-606622977,1.47487,1.68023,1.1392,4,6,179.7,0,1.0107
101,1501,8474,fp32,T,N,519,-606624915,0.14878,0.15348,1.0316,4,65,369.0,0,0.9956
2627,28242,16661,fp16,N,N,92,-606624261,20.46537,21.94716,1.0724,4,5,64.8,0,1.0462
267,10,1306,fp32,T,N,519,-606603788,0.01791,0.01893,1.0568,4,343,81.4,0,0.9870
8402,3370,201,bf16,N,T,57,-606623199,0.27424,0.32612,1.1892,4,31,430.3,0,1.0049
99,124,24094,bf16,N,T,64,-606623202,0.06040,0.37683,6.2388,4,30,178.7,0,1.0046
20341,7444,90,fp32,N,T,614,-606602111,0.94223,2.16681,2.2997,4,5,653.4,0,1.0102
4687,202,3963,fp16,T,T,53,-606629614,0.16003,0.81352,5.0836,4,13,265.8,0,1.0210
3024,7036,1580,fp16,N,N,223,-606624186,0.64667,0.71525,1.1061,4,14,180.8,0,1.0038
1333,2158,1007,fp32,N,N,556,-606605082,0.18796,0.21682,1.1536,4,45,136.0,0,1.0013
303,47,1580,fp16,N,N,97,-606603368,0.01852,0.22388,12.0874,4,41,62.8,0,1.0068
8530,11858,3071,fp16,T,N,245,-606603078,4.81699,4.88454,1.0140,4,5,110.0,0,1.0772
89,117,1940,fp32,T,N,519,-606624704,0.02972,0.04284,1.4412,4,198,55.2,0,0.9592
8,138,997,bf16,N,N,174,-606605303,0.01183,0.02065,1.7458,4,263,25.0,0,1.0007
9008,360,221,fp16,N,T,227,-606627713,0.03435,0.05885,1.7131,4,156,498.1,0,1.0053
27558,4,523,bf16,T,N,104,-606630818,0.03607,0.04870,1.3500,4,188,811.4,0,1.0035
465,5332,214,bf16,T,N,332,-606630772,0.02697,0.04187,1.5525,4,216,459.8,0,1.0051
23300,386,16,fp32,N,N,556,-606627855,0.04217,0.04817,1.1422,4,189,889.0,0,1.0068
234,1543,8800,fp32,N,N,556,-606628008,0.21249,0.28294,1.3316,4,36,301.2,0,1.0158
103,1236,4,bf16,N,N,273,-606629849,0.00813,0.00798,0.9813,4,962,64.0,0,1.0069
