M,N,K,dtype,opA,opB,metric,nsol,def_ms,tflops
530,1188,21055,fp32,T,T,0,82,0.92545,28.65
530,1188,21055,fp32,T,T,1,82,0.92598,28.63
530,1188,21055,fp32,T,T,2,82,0.92545,28.65
15080,1429,18586,fp16,T,N,0,245,10.34021,77.47
15080,1429,18586,fp16,T,N,1,245,10.17162,78.75
15080,1429,18586,fp16,T,N,2,245,10.36779,77.26
12271,12669,524,fp16,T,T,0,53,2.39912,67.91
12271,12669,524,fp16,T,T,1,53,2.39981,67.89
12271,12669,524,fp16,T,T,2,53,2.40173,67.84
109,14531,784,fp32,N,N,0,556,0.11579,21.45
109,14531,784,fp32,N,N,1,556,0.11611,21.39
109,14531,784,fp32,N,N,2,556,0.11600,21.41
16605,13892,483,bf16,N,T,0,57,3.55742,62.64
16605,13892,483,bf16,N,T,1,57,3.55988,62.60
16605,13892,483,bf16,N,T,2,57,3.56116,62.57
31002,1453,302,fp16,N,T,0,62,0.59057,46.07
31002,1453,302,fp16,N,T,1,62,0.59126,46.02
31002,1453,302,fp16,N,T,2,62,0.58817,46.26
223,1287,1964,fp32,N,N,0,556,0.05803,19.43
223,1287,1964,fp32,N,N,1,556,0.05840,19.30
223,1287,1964,fp32,N,N,2,556,0.05851,19.27
311,18165,9058,fp16,T,N,0,245,1.23399,82.94
311,18165,9058,fp16,T,N,1,245,1.23367,82.96
311,18165,9058,fp16,T,N,2,245,1.23415,82.93
5912,131,80,fp32,N,N,0,556,0.02112,5.87
5912,131,80,fp32,N,N,1,556,0.02160,5.74
5912,131,80,fp32,N,N,2,556,0.02160,5.74
127,911,2783,fp16,N,N,0,99,0.06299,10.22
127,911,2783,fp16,N,N,1,99,0.06336,10.16
127,911,2783,fp16,N,N,2,99,0.06304,10.22
25571,241,5129,fp32,N,N,0,556,1.79901,35.14
25571,241,5129,fp32,N,N,1,556,1.80157,35.09
25571,241,5129,fp32,N,N,2,556,1.80108,35.10
367,22027,5486,fp16,N,T,0,62,0.89734,98.84
367,22027,5486,fp16,N,T,1,62,0.89526,99.07
367,22027,5486,fp16,N,T,2,62,0.89905,98.66
433,9615,12168,bf16,T,N,0,231,2.50333,40.47
433,9615,12168,bf16,T,N,1,231,2.50536,40.44
433,9615,12168,bf16,T,N,2,231,2.49155,40.66
2166,2415,155,fp16,T,T,0,53,0.13008,12.47
2166,2415,155,fp16,T,T,1,53,0.13008,12.47
2166,2415,155,fp16,T,T,2,53,0.12971,12.50
1462,86,5010,fp32,T,N,0,519,0.09205,13.69
1462,86,5010,fp32,T,N,1,519,0.09328,13.51
1462,86,5010,fp32,T,N,2,519,0.09227,13.65
312,11259,5817,bf16,T,T,0,39,0.46203,88.45
312,11259,5817,bf16,T,T,1,39,0.46240,88.38
312,11259,5817,bf16,T,T,2,39,0.46160,88.53
193,22434,1140,fp32,N,N,0,556,0.48075,20.53
193,22434,1140,fp32,N,N,1,556,0.48630,20.30
193,22434,1140,fp32,N,N,2,556,0.48683,20.28
191,9273,4017,fp16,T,N,0,249,1.51618,9.39
191,9273,4017,fp16,T,N,1,249,1.51772,9.38
191,9273,4017,fp16,T,N,2,249,1.51820,9.37
16411,274,4276,bf16,N,N,0,166,0.46784,82.20
16411,274,4276,bf16,N,N,1,166,0.46774,82.21
16411,274,4276,bf16,N,N,2,166,0.46870,82.05
9751,11026,4835,fp32,T,T,0,82,27.00918,38.49
9751,11026,4835,fp32,T,T,1,82,27.01937,38.48
9751,11026,4835,fp32,T,T,2,82,27.02081,38.48
1263,125,1858,fp32,T,T,0,82,0.10464,5.61
1263,125,1858,fp32,T,T,1,82,0.10496,5.59
1263,125,1858,fp32,T,T,2,82,0.10480,5.60
148,149,472,bf16,T,N,0,231,0.01360,1.53
148,149,472,bf16,T,N,1,231,0.01424,1.46
148,149,472,bf16,T,N,2,231,0.01413,1.47
21306,23193,1460,bf16,N,T,0,57,14.19988,101.61
21306,23193,1460,bf16,N,T,1,57,14.19551,101.65
21306,23193,1460,bf16,N,T,2,57,14.20324,101.59
582,4744,75,fp16,N,T,0,227,0.02309,17.93
582,4744,75,fp16,N,T,1,227,0.02341,17.69
582,4744,75,fp16,N,T,2,227,0.02363,17.53
11727,2355,382,bf16,T,T,0,39,0.36902,57.18
11727,2355,382,bf16,T,T,1,39,0.36694,57.50
11727,2355,382,bf16,T,T,2,39,0.36982,57.05
648,101,13872,fp16,N,T,0,70,0.18096,10.03
648,101,13872,fp16,N,T,1,70,0.18064,10.05
648,101,13872,fp16,N,T,2,70,0.18251,9.95
117,659,118,fp16,T,N,0,245,0.02752,0.66
117,659,118,fp16,T,N,1,245,0.02779,0.65
117,659,118,fp16,T,N,2,245,0.02763,0.66
1601,7381,883,fp16,N,N,0,90,0.28576,73.03
1601,7381,883,fp16,N,N,1,90,0.28347,73.62
1601,7381,883,fp16,N,N,2,90,0.28251,73.87
5568,200,5838,fp32,T,T,0,82,0.57862,22.47
5568,200,5838,fp32,T,T,1,82,0.57958,22.43
5568,200,5838,fp32,T,T,2,82,0.57963,22.43
9825,65,1399,fp16,N,T,0,68,0.07312,24.44
9825,65,1399,fp16,N,T,1,68,0.07451,23.98
9825,65,1399,fp16,N,T,2,68,0.07376,24.23
1934,31330,629,fp32,T,N,0,519,2.16936,35.14
1934,31330,629,fp32,T,N,1,519,2.17240,35.09
1934,31330,629,fp32,T,N,2,519,2.17165,35.10
1927,12299,222,fp32,T,T,0,82,0.44128,23.85
1927,12299,222,fp32,T,T,1,82,0.43168,24.38
1927,12299,222,fp32,T,T,2,82,0.43238,24.34
2121,227,16060,bf16,N,N,0,176,0.46454,33.29
2121,227,16060,bf16,N,N,1,176,0.46454,33.29
2121,227,16060,bf16,N,N,2,176,0.46486,33.27
2431,16219,16652,bf16,T,N,0,231,17.65752,74.37
2431,16219,16652,bf16,T,N,1,231,17.79848,73.78
2431,16219,16652,bf16,T,N,2,231,17.67314,74.30
505,12192,2885,bf16,N,N,0,388,0.40651,87.39
505,12192,2885,bf16,N,N,1,388,0.40811,87.05
505,12192,2885,bf16,N,N,2,388,0.40752,87.17
580,26962,9790,bf16,T,T,0,39,3.91247,78.26
580,26962,9790,bf16,T,T,1,39,3.80079,80.56
580,26962,9790,bf16,T,T,2,39,3.88548,78.80
612,28050,475,fp32,T,T,0,82,0.51686,31.55
612,28050,475,fp32,T,T,1,82,0.51185,31.86
612,28050,475,fp32,T,T,2,82,0.51110,31.91
1925,141,194,fp32,T,T,0,82,0.01749,6.02
1925,141,194,fp32,T,T,1,82,0.01776,5.93
1925,141,194,fp32,T,T,2,82,0.01787,5.89
1403,5174,13290,fp32,N,T,0,612,5.22272,36.94
1403,5174,13290,fp32,N,T,1,612,5.22368,36.94
1403,5174,13290,fp32,N,T,2,612,5.22544,36.92
107,117,72,bf16,N,N,0,166,0.01003,0.18
107,117,72,bf16,N,N,1,166,0.01125,0.16
107,117,72,bf16,N,N,2,166,0.01077,0.17
781,1100,7846,bf16,N,N,0,283,0.16683,80.81
781,1100,7846,bf16,N,N,1,283,0.16661,80.91
781,1100,7846,bf16,N,N,2,283,0.16592,81.25
858,408,66,bf16,N,N,0,388,0.01141,4.05
858,408,66,bf16,N,N,1,388,0.01179,3.92
858,408,66,bf16,N,N,2,388,0.01344,3.44
646,2768,15111,fp16,T,T,0,53,4.46773,12.10
646,2768,15111,fp16,T,T,1,53,4.46885,12.09
646,2768,15111,fp16,T,T,2,53,4.46677,12.10
979,4376,337,bf16,N,T,0,201,0.09371,30.81
979,4376,337,bf16,N,T,1,201,0.09381,30.78
979,4376,337,bf16,N,T,2,201,0.09403,30.71
563,13001,349,fp16,N,N,0,90,0.22715,22.49
563,13001,349,fp16,N,N,1,90,0.22955,22.26
563,13001,349,fp16,N,N,2,90,0.22816,22.39
5305,20851,690,fp32,T,T,0,82,4.12351,37.02
5305,20851,690,fp32,T,T,1,82,4.12724,36.99
5305,20851,690,fp32,T,T,2,82,4.12500,37.01
4467,96,168,fp16,T,N,0,513,0.01461,9.86
4467,96,168,fp16,T,N,1,513,0.01483,9.72
4467,96,168,fp16,T,N,2,513,0.01451,9.93
107,613,2033,bf16,N,T,0,62,0.04389,6.08
107,613,2033,bf16,N,T,1,62,0.04421,6.03
107,613,2033,bf16,N,T,2,62,0.04389,6.08
620,79,4753,bf16,T,N,0,247,0.06640,7.01
620,79,4753,bf16,T,N,1,247,0.06603,7.05
620,79,4753,bf16,T,N,2,247,0.06688,6.96
365,258,3785,bf16,N,N,0,176,0.03616,19.71
365,258,3785,bf16,N,N,1,176,0.03643,19.57
365,258,3785,bf16,N,N,2,176,0.03643,19.57
471,87,335,fp16,T,N,0,245,0.05317,0.52
471,87,335,fp16,T,N,1,245,0.05339,0.51
471,87,335,fp16,T,N,2,245,0.05323,0.52
275,124,82,fp32,T,T,0,82,0.01520,0.37
275,124,82,fp32,T,T,1,82,0.01536,0.36
275,124,82,fp32,T,T,2,82,0.01509,0.37
2353,7158,186,fp32,T,T,0,82,0.26934,23.26
2353,7158,186,fp32,T,T,1,82,0.26902,23.29
2353,7158,186,fp32,T,T,2,82,0.26934,23.26
230,2401,815,bf16,N,T,0,62,0.03381,26.62
230,2401,815,bf16,N,T,1,62,0.03408,26.41
230,2401,815,bf16,N,T,2,62,0.03397,26.49
7191,358,8056,bf16,N,N,0,174,0.73755,56.24
7191,358,8056,bf16,N,N,1,174,0.73697,56.28
7191,358,8056,bf16,N,N,2,174,0.73718,56.27
1073,607,3106,fp32,T,T,0,82,0.20608,19.63
1073,607,3106,fp32,T,T,1,82,0.20662,19.58
1073,607,3106,fp32,T,T,2,82,0.20699,19.55
719,1234,14159,bf16,N,N,0,176,0.72054,34.87
719,1234,14159,bf16,N,N,1,176,0.72070,34.86
719,1234,14159,bf16,N,N,2,176,0.72081,34.86
12919,855,12506,bf16,N,T,0,57,3.77817,73.12
12919,855,12506,bf16,N,T,1,57,3.78772,72.94
12919,855,12506,bf16,N,T,2,57,3.78281,73.03
242,80,292,fp16,N,T,0,227,0.01008,1.12
242,80,292,fp16,N,T,1,227,0.01141,0.99
242,80,292,fp16,N,T,2,227,0.01120,1.01
2441,5584,13122,bf16,T,T,0,39,4.74378,75.41
2441,5584,13122,bf16,T,T,1,39,4.71136,75.93
2441,5584,13122,bf16,T,T,2,39,4.57205,78.24
12249,6253,7553,fp16,N,T,0,62,16.03643,72.15
12249,6253,7553,fp16,N,T,1,62,16.34716,70.78
12249,6253,7553,fp16,N,T,2,62,16.28263,71.06
309,154,1089,bf16,T,N,0,238,0.02021,5.13
309,154,1089,bf16,T,N,1,238,0.02187,4.74
309,154,1089,bf16,T,N,2,238,0.02075,5.00
751,132,475,bf16,N,N,0,273,0.01893,4.97
751,132,475,bf16,N,N,1,273,0.01936,4.86
751,132,475,bf16,N,N,2,273,0.01952,4.82
129,8398,1701,bf16,N,N,0,174,0.17451,21.12
129,8398,1701,bf16,N,N,1,174,0.17296,21.31
129,8398,1701,bf16,N,N,2,174,0.16683,22.09
878,23645,11174,fp32,T,N,0,519,13.29459,34.90
878,23645,11174,fp32,T,N,1,519,12.90696,35.95
878,23645,11174,fp32,T,N,2,519,12.91507,35.92
5714,91,386,bf16,N,N,0,166,0.02624,15.30
5714,91,386,bf16,N,N,1,166,0.02741,14.64
5714,91,386,bf16,N,N,2,166,0.02640,15.21
493,761,123,bf16,N,T,0,57,0.01429,6.46
493,761,123,bf16,N,T,1,57,0.01445,6.39
493,761,123,bf16,N,T,2,57,0.01456,6.34
559,2154,6482,fp32,T,T,0,82,0.44256,35.27
559,2154,6482,fp32,T,T,1,82,0.44304,35.23
559,2154,6482,fp32,T,T,2,82,0.44304,35.23
7962,2574,1200,fp16,N,N,0,98,0.50449,97.50
7962,2574,1200,fp16,N,N,1,98,0.50449,97.50
7962,2574,1200,fp16,N,N,2,98,0.50513,97.37
119,7019,4210,fp16,T,T,0,53,0.80545,8.73
119,7019,4210,fp16,T,T,1,53,0.80630,8.72
119,7019,4210,fp16,T,T,2,53,0.80652,8.72
7738,146,674,fp16,N,N,0,98,0.22736,6.70
7738,146,674,fp16,N,N,1,98,0.22726,6.70
7738,146,674,fp16,N,N,2,98,0.22731,6.70
340,147,2153,fp16,T,T,0,53,0.03883,5.54
340,147,2153,fp16,T,T,1,53,0.03899,5.52
340,147,2153,fp16,T,T,2,53,0.03877,5.55
430,427,4743,fp16,N,N,0,103,0.07168,24.30
430,427,4743,fp16,N,N,1,103,0.07211,24.15
430,427,4743,fp16,N,N,2,103,0.07200,24.19
2073,245,76,fp32,T,N,0,519,0.01291,5.98
2073,245,76,fp32,T,N,1,519,0.01349,5.72
2073,245,76,fp32,T,N,2,519,0.01365,5.65
12073,936,2570,bf16,N,N,0,388,0.50662,114.65
12073,936,2570,bf16,N,N,1,388,0.50160,115.80
12073,936,2570,bf16,N,N,2,388,0.50385,115.28
105,170,314,fp32,T,N,0,519,0.01712,0.65
105,170,314,fp32,T,N,1,519,0.01744,0.64
105,170,314,fp32,T,N,2,519,0.01723,0.65
144,92,364,bf16,N,T,0,57,0.01493,0.65
144,92,364,bf16,N,T,1,57,0.01669,0.58
144,92,364,bf16,N,T,2,57,0.01488,0.65
4288,450,2592,fp16,T,T,0,88,0.72075,13.88
4288,450,2592,fp16,T,T,1,88,0.72225,13.85
4288,450,2592,fp16,T,T,2,88,0.72123,13.87
2041,2024,965,fp16,T,T,0,53,0.11173,71.35
2041,2024,965,fp16,T,T,1,53,0.11307,70.51
2041,2024,965,fp16,T,T,2,53,0.11312,70.48
14567,3405,29559,fp32,T,T,0,82,188.29144,15.57
14567,3405,29559,fp32,T,T,1,82,187.55855,15.63
14567,3405,29559,fp32,T,T,2,82,188.11305,15.59
506,4116,28732,fp32,T,T,0,82,3.93690,30.40
506,4116,28732,fp32,T,T,1,82,3.74697,31.94
506,4116,28732,fp32,T,T,2,82,4.12394,29.02
5556,123,2908,fp32,N,N,0,558,0.13771,28.86
5556,123,2908,fp32,N,N,1,558,0.13814,28.77
5556,123,2908,fp32,N,N,2,558,0.13776,28.85
454,19665,99,fp32,N,T,0,612,0.14918,11.85
454,19665,99,fp32,N,T,1,612,0.14955,11.82
454,19665,99,fp32,N,T,2,612,0.14944,11.83
840,213,13295,bf16,T,T,0,39,0.32395,14.69
840,213,13295,bf16,T,T,1,39,0.32390,14.69
840,213,13295,bf16,T,T,2,39,0.32374,14.70
123,102,424,bf16,T,N,0,231,0.01419,0.75
123,102,424,bf16,T,N,1,231,0.01525,0.70
123,102,424,bf16,T,N,2,231,0.01451,0.73
542,2374,2525,fp16,N,T,0,68,0.41462,15.67
542,2374,2525,fp16,N,T,1,68,0.41670,15.59
542,2374,2525,fp16,N,T,2,68,0.41552,15.64
833,1676,11106,fp32,N,T,0,614,1.17004,26.50
833,1676,11106,fp32,N,T,1,614,1.17287,26.44
833,1676,11106,fp32,N,T,2,614,1.17132,26.47
19087,222,5268,bf16,N,T,0,57,0.45147,98.89
19087,222,5268,bf16,N,T,1,57,0.45457,98.21
19087,222,5268,bf16,N,T,2,57,0.44891,99.45
18109,1153,16943,bf16,N,N,0,166,6.48284,109.14
18109,1153,16943,bf16,N,N,1,166,6.48034,109.18
18109,1153,16943,bf16,N,N,2,166,6.48162,109.16
324,121,971,bf16,N,T,0,62,0.01808,4.21
324,121,971,bf16,N,T,1,62,0.01856,4.10
324,121,971,bf16,N,T,2,62,0.01835,4.15
776,1459,1840,fp16,T,T,0,53,0.06891,60.46
776,1459,1840,fp16,T,T,1,53,0.06960,59.86
776,1459,1840,fp16,T,T,2,53,0.06928,60.14
204,1514,3641,fp32,N,N,0,558,0.09115,24.68
204,1514,3641,fp32,N,N,1,558,0.09136,24.62
204,1514,3641,fp32,N,N,2,558,0.09184,24.49
