capture,M,N,K,dtype,opA,opB,call_count
llama-1b-1,13,3072,2048,bf16,N,T,16
llama-1b-1,13,16384,2048,bf16,N,T,16
llama-1b-1,16,16384,2048,bf16,N,T,992
llama-1b-1,512,16384,2048,bf16,N,T,16
llama-1b-1,168,2048,2048,bf16,N,T,16
llama-1b-1,168,16384,2048,bf16,N,T,16
llama-1b-1,168,2048,8192,bf16,N,T,16
llama-1b-1,13,2048,8192,bf16,N,T,16
llama-1b-1,16,3072,2048,bf16,N,T,992
llama-1b-1,16,2048,8192,bf16,N,T,992
llama-1b-1,16,2048,2048,bf16,N,T,992
llama-1b-1,256,16384,2048,bf16,N,T,16
llama-1b-1,15,2048,2048,bf16,N,T,16
qwen-1.7b-2,63,151936,2048,bf16,N,T,1
qwen-1.7b-2,512,12288,2048,bf16,N,T,28
qwen-1.7b-2,256,12288,2048,bf16,N,T,28
qwen-1.7b-2,645,2048,2048,bf16,N,T,28
qwen-1.7b-2,512,2048,2048,bf16,N,T,28
qwen-1.7b-2,12,4096,2048,bf16,N,T,28
qwen-1.7b-2,256,4096,2048,bf16,N,T,28
qwen-1.7b-2,12,2048,2048,bf16,N,T,28
qwen-1.7b-2,512,151936,2048,bf16,N,T,1
qwen-1.7b-2,256,151936,2048,bf16,N,T,3
qwen-1.7b-2,64,12288,2048,bf16,N,T,7112
qwen-1.7b-2,512,4096,2048,bf16,N,T,28
qwen-1.7b-2,256,2048,2048,bf16,N,T,28
qwen-1.7b-2,8192,2048,2048,bf16,N,T,28
qwen-1.7b-2,512,2048,6144,bf16,N,T,28
qwen-1.7b-2,8192,4096,2048,bf16,N,T,28
qwen-1.7b-2,63,2048,6144,bf16,N,T,28
qwen-1.7b-2,8192,2048,6144,bf16,N,T,28
qwen-1.7b-2,64,2048,2048,bf16,N,T,7112
qwen-1.7b-2,12,12288,2048,bf16,N,T,28
qwen-1.7b-2,63,12288,2048,bf16,N,T,28
qwen-1.7b-2,64,4096,2048,bf16,N,T,7112
qwen-1.7b-2,64,2048,6144,bf16,N,T,7112
qwen-1.7b-2,12,2048,6144,bf16,N,T,28
qwen-1.7b-2,645,4096,2048,bf16,N,T,28
qwen-1.7b-2,8192,12288,2048,bf16,N,T,28
qwen-1.7b-2,645,12288,2048,bf16,N,T,28
qwen-1.7b-2,645,2048,6144,bf16,N,T,28
qwen-1.7b-2,64,151936,2048,bf16,N,T,255
qwen-1.7b-2,63,4096,2048,bf16,N,T,28
qwen-1.7b-2,256,2048,6144,bf16,N,T,28
qwen-1.7b-2,63,2048,2048,bf16,N,T,28
qwen-0.6b,23,151936,1024,bf16,N,T,1
qwen-0.6b,256,6144,1024,bf16,N,T,28
qwen-0.6b,512,1024,3072,bf16,N,T,28
qwen-0.6b,8192,4096,1024,bf16,N,T,28
qwen-0.6b,512,6144,1024,bf16,N,T,28
qwen-0.6b,24,6144,1024,bf16,N,T,2632
qwen-0.6b,23,1024,3072,bf16,N,T,28
qwen-0.6b,8192,1024,3072,bf16,N,T,28
qwen-0.6b,12,4096,1024,bf16,N,T,28
qwen-0.6b,235,1024,2048,bf16,N,T,28
qwen-0.6b,512,4096,1024,bf16,N,T,28
qwen-0.6b,256,1024,2048,bf16,N,T,28
qwen-0.6b,8192,1024,2048,bf16,N,T,28
qwen-0.6b,256,4096,1024,bf16,N,T,28
qwen-0.6b,23,4096,1024,bf16,N,T,28
qwen-0.6b,512,151936,1024,bf16,N,T,1
qwen-0.6b,24,151936,1024,bf16,N,T,95
qwen-0.6b,8192,6144,1024,bf16,N,T,28
qwen-0.6b,12,1024,2048,bf16,N,T,28
qwen-0.6b,256,151936,1024,bf16,N,T,3
qwen-0.6b,256,1024,3072,bf16,N,T,28
qwen-0.6b,23,1024,2048,bf16,N,T,28
qwen-0.6b,12,6144,1024,bf16,N,T,28
qwen-0.6b,235,1024,3072,bf16,N,T,28
qwen-0.6b,12,1024,3072,bf16,N,T,28
qwen-0.6b,235,4096,1024,bf16,N,T,28
qwen-0.6b,512,1024,2048,bf16,N,T,28
qwen-0.6b,235,6144,1024,bf16,N,T,28
qwen-0.6b,24,1024,2048,bf16,N,T,2632
qwen-0.6b,24,4096,1024,bf16,N,T,2632
qwen-0.6b,23,6144,1024,bf16,N,T,28
qwen-0.6b,24,1024,3072,bf16,N,T,2632
qwen-1.7b-1,23,151936,2048,bf16,N,T,1
qwen-1.7b-1,23,12288,2048,bf16,N,T,28
qwen-1.7b-1,235,4096,2048,bf16,N,T,28
qwen-1.7b-1,512,12288,2048,bf16,N,T,28
qwen-1.7b-1,256,2048,6144,bf16,N,T,28
qwen-1.7b-1,512,2048,2048,bf16,N,T,28
qwen-1.7b-1,12,4096,2048,bf16,N,T,28
qwen-1.7b-1,256,4096,2048,bf16,N,T,28
qwen-1.7b-1,235,12288,2048,bf16,N,T,28
qwen-1.7b-1,12,2048,2048,bf16,N,T,28
qwen-1.7b-1,235,2048,2048,bf16,N,T,28
qwen-1.7b-1,512,151936,2048,bf16,N,T,1
qwen-1.7b-1,256,151936,2048,bf16,N,T,3
qwen-1.7b-1,23,2048,6144,bf16,N,T,28
qwen-1.7b-1,24,4096,2048,bf16,N,T,2632
qwen-1.7b-1,512,4096,2048,bf16,N,T,28
qwen-1.7b-1,8192,12288,2048,bf16,N,T,28
qwen-1.7b-1,235,2048,6144,bf16,N,T,28
qwen-1.7b-1,512,2048,6144,bf16,N,T,28
qwen-1.7b-1,8192,4096,2048,bf16,N,T,28
qwen-1.7b-1,12,12288,2048,bf16,N,T,28
qwen-1.7b-1,12,2048,6144,bf16,N,T,28
qwen-1.7b-1,8192,2048,6144,bf16,N,T,28
qwen-1.7b-1,24,12288,2048,bf16,N,T,2632
qwen-1.7b-1,24,151936,2048,bf16,N,T,95
qwen-1.7b-1,24,2048,2048,bf16,N,T,2632
qwen-1.7b-1,24,2048,6144,bf16,N,T,2632
qwen-1.7b-1,256,2048,2048,bf16,N,T,28
qwen-1.7b-1,8192,2048,2048,bf16,N,T,28
qwen-1.7b-1,23,4096,2048,bf16,N,T,28
qwen-1.7b-1,256,12288,2048,bf16,N,T,28
qwen-1.7b-1,23,2048,2048,bf16,N,T,28
qwen-2.7b,11,14336,5120,bf16,N,T,16
qwen-2.7b,11,5120,17408,bf16,N,T,64
qwen-2.7b,256,14336,5120,bf16,N,T,16
qwen-2.7b,256,5120,17408,bf16,N,T,64
qwen-2.7b,8192,34816,5120,bf16,N,T,64
qwen-2.7b,8192,14336,5120,bf16,N,T,16
qwen-2.7b,256,248320,5120,bf16,N,T,2
qwen-2.7b,8192,5120,6144,bf16,N,T,64
qwen-2.7b,256,34816,5120,bf16,N,T,64
qwen-2.7b,112,34816,5120,bf16,N,T,64
qwen-2.7b,112,5120,17408,bf16,N,T,64
qwen-2.7b,11,5120,6144,bf16,N,T,64
qwen-2.7b,256,5120,6144,bf16,N,T,64
qwen-2.7b,8192,16384,5120,bf16,N,T,48
qwen-2.7b,112,5120,6144,bf16,N,T,64
qwen-2.7b,11,248320,5120,bf16,N,T,1
qwen-2.7b,12,96,5120,bf16,N,T,3024
qwen-2.7b,8192,96,5120,bf16,N,T,48
qwen-2.7b,12,5120,6144,bf16,N,T,4032
qwen-2.7b,12,34816,5120,bf16,N,T,4032
