M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
2062,2216,5791,fp32,T,T,66,-621281520,0.43359,0.80087,1.8471
1958,6344,31762,bf16,T,T,20,-621291505,1.42064,1.48559,1.0457
778,2943,1291,bf16,N,T,32,-621290748,0.04894,0.07035,1.4375
10070,12682,2703,fp16,T,T,22,-621284657,1.16092,1.27412,1.0975
7199,5770,8379,fp16,T,N,71,-621289155,1.08614,1.33703,1.2310
450,2657,11890,bf16,N,N,23,-621294089,0.36555,0.36600,1.0012
843,18976,37597,fp32,T,N,296,-621282666,9.85286,11.38412,1.1554
806,1162,32253,fp16,N,N,22,-621285594,0.99804,1.00191,1.0039
1617,1254,5189,fp16,N,T,33,-621292165,0.11858,0.11833,0.9979
1697,863,871,fp16,N,T,33,-621292165,0.03689,0.05538,1.5013
2493,294,32922,bf16,T,T,20,-621291505,1.11375,1.14376,1.0269
3769,9734,2900,fp32,T,N,296,-621290401,1.55876,1.79678,1.1527
2420,2732,567,fp16,N,N,17,-621285594,0.03726,0.05141,1.3800
1796,8647,329,bf16,T,N,69,-621294161,0.04695,0.04930,1.0500
3606,938,2355,bf16,T,T,20,-621291502,0.10131,0.10134,1.0003
1685,6090,28899,fp32,N,T,312,-621282250,5.07823,7.28930,1.4354
8880,577,23188,fp32,N,T,312,-621282160,2.23955,6.16667,2.7535
1738,2291,852,fp32,T,N,298,-621290682,0.06035,0.07478,1.2389
2198,290,691,fp32,N,N,292,-621288870,0.01612,0.01820,1.1287
6338,11767,2375,bf16,N,T,27,-621290751,0.63330,0.68822,1.0867
751,7832,39780,fp32,N,N,292,-621288977,4.06377,5.57510,1.3719
1318,267,2327,bf16,N,N,23,-621294090,0.08372,0.11614,1.3873
19635,5122,320,fp16,T,T,22,-621284657,0.21838,0.28354,1.2984
447,3136,556,fp16,T,N,71,-621289153,0.02597,0.04668,1.7970
2892,491,645,fp32,T,N,316,-621282500,0.02361,0.03027,1.2820
8054,305,3690,fp16,N,N,22,-621285594,0.12717,0.17028,1.3390
610,5674,9667,fp32,N,T,312,-621289504,0.60070,2.42148,4.0311
1434,479,18954,fp32,T,N,354,-621282457,0.26585,0.28414,1.0688
1513,5635,11704,bf16,N,T,32,-621290748,0.29894,0.42539,1.4230
379,4908,971,fp32,T,T,66,-621288595,0.03671,0.06214,1.6927
9860,588,9687,fp16,N,N,22,-621285594,0.32344,0.38232,1.1820
1798,7202,1703,bf16,N,T,27,-621290739,0.09576,0.10327,1.0784
3648,18213,1210,bf16,N,T,27,-621290754,0.35270,0.35772,1.0142
5106,271,4649,bf16,N,N,23,-621294090,0.15578,0.20856,1.3388
686,345,386,fp16,N,T,27,-621292165,0.02633,0.03895,1.4793
15754,14076,1868,fp16,N,N,17,-621285598,1.41284,1.68861,1.1952
6840,609,13566,fp32,N,N,292,-621281774,0.93864,0.95446,1.0169
600,17699,995,fp16,N,T,33,-621292164,0.07874,0.07717,0.9800
5211,256,39852,fp32,N,T,313,-621282250,1.15077,10.47630,9.1037
311,2717,2014,fp16,N,T,33,-621292169,0.05590,0.08947,1.6005
558,522,437,fp32,T,T,66,-621288585,0.00927,0.01211,1.3060
4668,4483,10972,fp32,N,N,292,-621288913,3.48863,4.35711,1.2489
3487,7409,33975,fp16,T,T,22,-621284661,3.47312,3.61475,1.0408
277,12561,5137,fp16,N,N,22,-621285594,0.17564,0.17771,1.0118
2342,4023,5427,fp32,T,T,66,-621281516,0.79072,0.84550,1.0693
1731,3324,1048,bf16,T,T,20,-621291499,0.05732,0.05785,1.0092
