transA,transB,M,N,batch_count,K,alpha,beta,lda,ldb,ldc,input_type,output_type,compute_type,solution_index
N,T,923,699,1,15353,1,0,923,699,923,bf16_r,f32_r,f32_r,606605443
T,T,271,312,1,11702,1,0,11702,312,271,f16_r,f32_r,f32_r,606629602
N,T,390,1968,1,11358,1,0,390,1968,390,bf16_r,f32_r,f32_r,606630826
T,T,14000,1920,1,13877,1,0,13877,1920,14000,f16_r,f32_r,f32_r,606629600
N,T,161,1585,1,13323,1,0,161,1585,161,f16_r,f32_r,f32_r,606622874
T,T,11817,254,1,9423,1,0,9423,254,11817,f16_r,f32_r,f32_r,606629597
N,T,1427,133,1,8267,1,0,1427,133,1427,f16_r,f32_r,f32_r,606602995
T,T,1072,454,1,9926,1,0,9926,454,1072,f16_r,f32_r,f32_r,606629603
T,T,617,2877,1,28628,1,0,28628,2877,617,f16_r,f32_r,f32_r,606629601
T,T,621,2476,1,11347,1,0,11347,2476,621,f16_r,f32_r,f32_r,606629596
T,T,460,292,1,8645,1,0,8645,292,460,f16_r,f32_r,f32_r,606629603
T,T,760,6222,1,16862,1,0,16862,6222,760,f16_r,f32_r,f32_r,606629600
T,T,542,532,1,8561,1,0,8561,532,542,f16_r,f32_r,f32_r,606629612
T,T,835,257,1,12264,1,0,12264,257,835,f16_r,f32_r,f32_r,606629611
T,T,2391,2681,1,14700,1,0,14700,2681,2391,f16_r,f32_r,f32_r,606629601
T,T,4620,516,1,15046,1,0,15046,516,4620,f16_r,f32_r,f32_r,606629597
T,T,3468,2522,1,9156,1,0,9156,2522,3468,f16_r,f32_r,f32_r,606629600
T,T,2873,4635,1,8970,1,0,8970,4635,2873,f16_r,f32_r,f32_r,606629607
T,T,4095,211,1,31880,1,0,31880,211,4095,f16_r,f32_r,f32_r,606629604
T,T,252,22286,1,21620,1,0,21620,22286,252,f16_r,f32_r,f32_r,606629610
T,T,396,6509,1,13276,1,0,13276,6509,396,f16_r,f32_r,f32_r,606629598
T,T,248,8280,1,27509,1,0,27509,8280,248,f16_r,f32_r,f32_r,606629604
T,T,3117,8014,1,19888,1,0,19888,8014,3117,f16_r,f32_r,f32_r,606629608
T,T,4092,7240,1,8459,1,0,8459,7240,4092,f16_r,f32_r,f32_r,606629610
N,T,412,386,1,20744,1,0,412,386,412,f16_r,f32_r,f32_r,606622874
T,T,1337,7016,1,18493,1,0,18493,7016,1337,f16_r,f32_r,f32_r,606629608
T,T,1307,4050,1,16699,1,0,16699,4050,1307,f16_r,f32_r,f32_r,606629606
T,T,2189,1611,1,26479,1,0,26479,1611,2189,f16_r,f32_r,f32_r,606629606
N,T,629,142,1,24502,1,0,629,142,629,f16_r,f32_r,f32_r,606622874
T,T,8592,230,1,18796,1,0,18796,230,8592,f16_r,f32_r,f32_r,606629597
T,T,1192,5177,1,31767,1,0,31767,5177,1192,f16_r,f32_r,f32_r,606629608
T,T,1636,443,1,24285,1,0,24285,443,1636,f16_r,f32_r,f32_r,606629611
T,T,2432,5649,1,8468,1,0,8468,5649,2432,f16_r,f32_r,f32_r,606629607
T,T,1665,9543,1,24354,1,0,24354,9543,1665,f16_r,f32_r,f32_r,606629608
T,T,2729,554,1,19204,1,0,19204,554,2729,f16_r,f32_r,f32_r,606629604
T,N,480,209,1,11135,1,0,11135,11135,480,bf16_r,f32_r,f32_r,606603202
T,T,2284,6078,1,27465,1,0,27465,6078,2284,f16_r,f32_r,f32_r,606629598
T,T,3592,5071,1,15425,1,0,15425,5071,3592,f16_r,f32_r,f32_r,606629598
N,T,172,960,1,11369,1,0,172,960,172,f16_r,f32_r,f32_r,606602995
T,T,2672,8259,1,22605,1,0,22605,8259,2672,f16_r,f32_r,f32_r,606629605
T,T,20183,2169,1,12257,1,0,12257,2169,20183,f16_r,f32_r,f32_r,606629601
T,T,7849,4119,1,13742,1,0,13742,4119,7849,f16_r,f32_r,f32_r,606629608
T,T,286,2509,1,16100,1,0,16100,2509,286,f16_r,f32_r,f32_r,606629611
T,T,18926,1020,1,26025,1,0,26025,1020,18926,f16_r,f32_r,f32_r,606629601
N,T,759,4921,1,14242,1,0,759,4921,759,bf16_r,f32_r,f32_r,606605559
N,N,128,484,1,29438,1,0,128,29438,128,f16_r,f32_r,f32_r,606603240
T,N,744,11013,1,28132,1,0,28132,28132,744,bf16_r,f32_r,f32_r,606623186
T,N,4799,128,1,8619,1,0,8619,8619,4799,f16_r,f32_r,f32_r,606627658
N,N,132,660,1,20045,1,0,132,20045,132,f16_r,f32_r,f32_r,606624098
N,T,2430,358,1,18754,1,0,2430,358,2430,f32_r,f32_r,f32_r,606624682
N,T,7257,3132,1,12119,1,0,7257,3132,7257,bf16_r,f32_r,f32_r,606630816
T,N,174,697,1,30162,1,0,30162,30162,174,f32_r,f32_r,f32_r,606618193
N,N,141,2078,1,17901,1,0,141,17901,141,f16_r,f32_r,f32_r,606624225
T,N,325,937,1,11054,1,0,11054,11054,325,bf16_r,f32_r,f32_r,606603215
N,N,191,1518,1,9569,1,0,191,9569,191,f16_r,f32_r,f32_r,606603273
N,T,9691,1712,1,9030,1,0,9691,1712,9691,bf16_r,f32_r,f32_r,606630842
N,N,234,1851,1,15222,1,0,234,15222,234,f16_r,f32_r,f32_r,606624225
N,T,1650,2044,1,25653,1,0,1650,2044,1650,f16_r,f32_r,f32_r,606603089
N,T,9387,1713,1,9171,1,0,9387,1713,9387,bf16_r,f32_r,f32_r,606605647
N,N,324,344,1,15417,1,0,324,15417,324,f16_r,f32_r,f32_r,606624225
T,N,249,523,1,26152,1,0,26152,26152,249,f32_r,f32_r,f32_r,606602155
