family,harness_M,harness_N,K,dtype,harness_opA,harness_opB,rocblas_M,rocblas_N,rocblas_transA,rocblas_transB,n_solutions,rocblas_solution_index,tensile_index_for_override,default_ms,best_ms,gain
large-K,395,2437,27802,fp32,T,N,2437,395,N,T,519,-606624942,606624932,3.04967,1.92393,1.5851
large-K,7813,2401,22386,fp16,N,T,2401,7813,T,N,62,-606604822,606604812,22.87102,14.45011,1.5828
large-K,7345,689,17245,fp16,N,T,689,7345,T,N,62,-606627760,606627750,3.88637,2.46119,1.5791
large-K,1943,9201,12077,fp16,N,N,9201,1943,N,N,90,-606624264,606624254,5.88418,3.73136,1.5770
large-K,1182,217,17634,fp32,N,T,217,1182,T,N,612,-606618439,606618429,0.53195,0.33790,1.5743
large-K,1352,2375,9235,bf16,N,T,2375,1352,T,N,57,-606603161,606603151,1.19682,0.76188,1.5709
large-K,1675,1465,19048,bf16,N,N,1465,1675,N,N,174,-606629895,606629885,1.55527,0.99490,1.5632
large-K,1110,5036,28685,fp16,N,T,5036,1110,T,N,62,-606604851,606604841,7.10594,4.55766,1.5591
large-K,474,414,12849,fp32,N,T,414,474,T,N,612,-606618175,606618165,0.36560,0.23460,1.5584
large-K,3233,11662,8262,bf16,N,N,11662,3233,N,N,166,-606630010,606630000,8.43073,5.41465,1.5570
large-K,2594,3596,15191,bf16,N,T,3596,2594,T,N,57,-606623198,606623188,6.22235,4.00221,1.5547
large-K,4579,5040,9805,fp16,N,T,5040,4579,T,N,227,-606627754,606627744,6.38234,4.10688,1.5541
large-K,640,484,12527,bf16,T,T,484,640,T,T,39,-606619899,606619889,0.34486,0.22224,1.5517
large-K,4866,8479,10131,bf16,N,N,8479,4866,N,N,166,-606629966,606629956,11.08208,7.14755,1.5505
large-K,4602,1169,18087,fp16,N,T,1169,4602,T,N,62,-606604851,606604841,4.61648,2.98215,1.5480
large-K,6476,320,30601,fp32,N,N,320,6476,N,N,562,-606605148,606605138,5.54879,3.61290,1.5358
large-K,637,130,27875,fp16,N,T,130,637,T,N,70,-606604766,606604756,0.44793,0.29260,1.5308
large-K,2086,12755,13735,bf16,N,N,12755,2086,N,N,166,-606630014,606630004,10.17166,6.66750,1.5256
large-K,10850,4781,10930,bf16,T,N,4781,10850,N,T,231,-606605631,606605621,13.18646,8.65629,1.5233
large-K,1247,129,8974,bf16,T,T,129,1247,T,T,39,-606619899,606619889,0.24116,0.15846,1.5219
large-K,220,1798,16090,bf16,N,N,1798,220,N,N,176,-606605183,606605173,0.38180,0.25099,1.5212
large-K,614,1963,11799,bf16,N,N,1963,614,N,N,174,-606605259,606605249,0.70024,0.46033,1.5212
large-K,886,23502,16322,bf16,T,T,23502,886,T,T,39,-606619916,606619906,11.31884,7.44230,1.5209
large-K,2442,12139,15572,bf16,T,T,12139,2442,T,T,39,-606619916,606619906,13.93911,9.20144,1.5149
large-K,2324,11186,10668,fp16,N,N,11186,2324,N,N,98,-606624246,606624236,7.56484,4.99487,1.5145
large-K,353,227,17249,fp32,N,T,227,353,T,N,612,-606618432,606618422,0.27971,0.18482,1.5134
large-K,2755,5249,16877,fp16,N,T,5249,2755,T,N,62,-606627741,606627731,10.20568,6.74711,1.5126
large-K,4536,3858,25627,fp16,N,T,3858,4536,T,N,62,-606604809,606604799,21.11171,14.02492,1.5053
large-K,2600,1162,28469,fp32,T,T,1162,2600,T,T,82,-606620832,606620822,8.14877,5.46396,1.4914
large-K,488,9097,8428,fp32,N,N,9097,488,N,N,556,-606628040,606628030,3.28864,2.20954,1.4884
large-K,567,3627,27164,bf16,N,N,3627,567,N,N,174,-606629918,606629908,2.00889,1.35148,1.4864
large-K,1608,2056,28706,fp16,T,N,2056,1608,N,T,519,-606603029,606603019,2.58354,1.74028,1.4846
large-K,8541,187,17018,fp32,N,N,187,8541,N,N,556,-606628040,606628030,2.48004,1.67088,1.4843
large-K,5387,872,13418,fp16,T,N,872,5387,N,T,513,-606622952,606622942,1.63680,1.10716,1.4784
large-K,13309,1411,8499,bf16,T,N,1411,13309,N,T,231,-606630896,606630886,4.01300,2.72134,1.4746
large-K,593,612,10258,fp16,T,N,612,593,N,T,395,-606622762,606622752,0.23411,0.15890,1.4733
large-K,5449,2082,15345,bf16,T,T,2082,5449,T,T,39,-606619916,606619906,4.80410,3.26414,1.4718
large-K,6842,3663,21342,bf16,N,T,3663,6842,T,N,57,-606623140,606623130,25.68506,17.46065,1.4710
large-K,4210,3609,16813,fp16,N,T,3609,4210,T,N,62,-606604851,606604841,10.47487,7.13821,1.4674
large-K,804,21161,19972,fp16,N,N,21161,804,N,N,94,-606603354,606603344,9.28651,6.33145,1.4667
large-K,422,194,21875,bf16,T,T,194,422,T,T,39,-606619899,606619889,0.53518,0.36563,1.4637
large-K,2602,6150,21668,bf16,T,T,6150,2602,T,T,39,-606619916,606619906,10.75772,7.37233,1.4592
large-K,131,22639,20565,bf16,N,T,22639,131,T,N,57,-606623199,606623189,2.68429,1.84288,1.4566
large-K,5726,3992,8517,fp16,N,T,3992,5726,T,N,227,-606627758,606627748,5.11723,3.52162,1.4531
large-K,543,454,23778,fp32,N,T,454,543,T,N,612,-606602204,606602194,0.67100,0.46227,1.4515
large-K,1679,1305,21736,bf16,N,N,1305,1679,N,N,174,-606629908,606629898,1.61105,1.11364,1.4467
large-K,303,4299,8770,fp32,T,T,4299,303,T,T,82,-606620788,606620778,1.17834,0.81924,1.4383
large-K,1291,1934,16091,fp16,N,T,1934,1291,T,N,68,-606604870,606604860,1.64185,1.14467,1.4343
large-K,1278,15302,12269,bf16,T,T,15302,1278,T,T,39,-606619916,606619906,5.78489,4.03564,1.4335
large-K,4199,1330,18626,bf16,T,T,1330,4199,T,T,39,-606619916,606619906,2.95843,2.07078,1.4287
large-K,888,820,14015,fp32,N,T,820,888,T,N,616,-606618184,606618174,0.95361,0.67472,1.4133
large-K,5581,302,10442,fp32,T,T,302,5581,T,T,82,-606620815,606620805,1.75601,1.24628,1.4090
large-K,25350,1296,11954,bf16,T,T,1296,25350,T,T,39,-606619916,606619906,11.37581,8.14126,1.3973
large-K,6127,7559,23448,fp16,N,T,7559,6127,T,N,62,-606627741,606627731,49.80683,35.84194,1.3896
large-K,9324,2535,12462,bf16,T,T,2535,9324,T,T,39,-606619916,606619906,7.39240,5.33453,1.3858
large-K,707,12977,21732,fp16,T,N,12977,707,N,T,245,-606603120,606603110,4.54698,3.29337,1.3806
large-K,698,1307,26082,fp32,N,N,1307,698,N,N,556,-606628025,606628015,2.54783,1.85033,1.3770
large-K,1819,2639,8415,fp32,N,N,2639,1819,N,N,556,-606628025,606628015,3.20123,2.35269,1.3607
large-K,527,4979,28313,bf16,N,T,4979,527,T,N,62,-606603145,606603135,3.25070,2.38978,1.3603
large-K,344,1600,26541,fp16,N,N,1600,344,N,N,399,-606624209,606624199,0.43167,0.31739,1.3600
large-K,7388,5782,22317,fp16,N,T,5782,7388,T,N,62,-606604870,606604860,41.69392,30.69021,1.3585
large-K,397,23839,32182,bf16,T,N,23839,397,N,T,231,-606630873,606630863,8.51042,6.27791,1.3556
large-K,8102,285,10256,fp32,N,N,285,8102,N,N,556,-606604997,606604987,1.97534,1.45993,1.3530
large-K,5126,9241,28652,bf16,N,T,9241,5126,T,N,57,-606603181,606603171,61.78276,45.73309,1.3509
large-K,5927,1980,19963,bf16,N,N,1980,5927,N,N,273,-606605362,606605352,5.56348,4.11951,1.3505
large-K,3607,13292,26777,bf16,N,T,13292,3607,T,N,57,-606603181,606603171,56.25394,41.76150,1.3470
large-K,3065,3682,14639,bf16,T,T,3682,3065,T,T,39,-606619916,606619906,4.17655,3.10721,1.3441
large-K,654,1504,18443,fp32,N,T,1504,654,T,N,614,-606602207,606602197,1.69096,1.26191,1.3400
large-K,315,23713,9437,bf16,N,N,23713,315,N,N,166,-606605263,606605253,2.00260,1.49795,1.3369
large-K,2714,7395,8442,fp16,N,N,7395,2714,N,N,94,-606624158,606624148,4.47020,3.35685,1.3317
large-K,449,2664,14858,fp32,N,T,2664,449,T,N,614,-606618439,606618429,1.75017,1.31432,1.3316
large-K,234,1543,8800,fp32,N,N,1543,234,N,N,556,-606628008,606627998,0.28294,0.21249,1.3316
large-K,5044,398,12293,fp32,N,N,398,5044,N,N,556,-606605148,606605138,2.29843,1.72863,1.3296
large-K,4463,191,15981,bf16,T,T,191,4463,T,T,39,-606619903,606619893,0.64572,0.48581,1.3292
large-K,2714,8060,19865,bf16,N,N,8060,2714,N,N,273,-606605295,606605285,9.48682,7.14814,1.3272
large-K,796,1243,20651,fp32,N,N,1243,796,N,N,558,-606628025,606628015,1.93208,1.46325,1.3204
large-K,180,6461,8637,bf16,N,N,6461,180,N,N,176,-606605264,606605254,0.44932,0.34164,1.3152
large-K,3804,1555,20246,bf16,N,N,1555,3804,N,N,166,-606629908,606629898,3.25769,2.47925,1.3140
large-K,690,616,8465,fp32,T,N,616,690,N,T,525,-606604015,606604005,0.38385,0.29224,1.3135
large-K,329,1395,14079,fp32,T,N,1395,329,N,T,519,-606624920,606624910,0.63866,0.48668,1.3123
large-K,13530,358,11759,fp16,N,N,358,13530,N,N,98,-606603414,606603404,1.77945,1.35628,1.3120
large-K,2330,298,15861,fp16,T,N,298,2330,N,T,255,-606622764,606622754,0.47783,0.36429,1.3117
large-K,1082,1481,10246,fp16,T,N,1481,1082,N,T,250,-606622974,606622964,0.64656,0.49629,1.3028
large-K,2380,5112,11376,fp16,T,N,5112,2380,N,T,513,-606622812,606622802,2.83863,2.17957,1.3024
large-K,6662,3554,8367,bf16,T,T,3554,6662,T,T,39,-606619916,606619906,4.85914,3.73767,1.3000
large-K,1914,2057,25335,fp16,N,N,2057,1914,N,N,94,-606603414,606603404,2.73668,2.10523,1.2999
large-K,12945,1726,14232,bf16,T,T,1726,12945,T,T,39,-606619916,606619906,8.13244,6.30595,1.2896
large-K,4850,1432,22471,bf16,N,N,1432,4850,N,N,388,-606605295,606605285,3.43949,2.66797,1.2892
large-K,577,20546,10205,fp32,T,T,20546,577,T,T,82,-606620777,606620767,9.84367,7.65567,1.2858
large-K,3541,436,8848,fp16,T,N,436,3541,N,T,387,-606602934,606602924,0.46411,0.36111,1.2852
large-K,2624,1662,9148,bf16,T,N,1662,2624,N,T,231,-606630854,606630844,0.90179,0.70213,1.2844
large-K,21160,812,20860,bf16,T,N,812,21160,N,T,332,-606630910,606630900,7.84992,6.12686,1.2812
large-K,31693,848,14019,bf16,T,T,848,31693,T,T,39,-606619916,606619906,9.43600,7.37399,1.2796
large-K,1357,1067,12164,fp16,N,N,1067,1357,N,N,97,-606603424,606603414,0.61398,0.48388,1.2689
large-K,769,9850,25829,bf16,T,T,9850,769,T,T,39,-606619907,606619897,6.38451,5.03817,1.2672
large-K,617,9441,8668,fp16,N,N,9441,617,N,N,90,-606624185,606624175,1.29119,1.02085,1.2648
large-K,497,25877,13039,bf16,T,T,25877,497,T,T,39,-606619916,606619906,4.08624,3.25802,1.2542
large-K,2396,3428,8277,fp16,T,N,3428,2396,N,T,382,-606622954,606622944,1.58823,1.26649,1.2540
large-K,3836,930,16218,bf16,T,N,930,3836,N,T,231,-606630837,606630827,1.53612,1.22905,1.2498
large-K,10424,918,8242,fp32,N,T,918,10424,T,N,612,-606618436,606618426,6.23112,4.99364,1.2478
large-K,169,1592,10135,fp16,T,N,1592,169,N,T,589,-606603007,606602997,0.13952,0.11193,1.2465
large-K,611,1680,19229,fp16,N,T,1680,611,T,N,241,-606604852,606604842,0.65685,0.52723,1.2459
large-K,1550,743,8395,fp32,T,N,743,1550,N,T,519,-606624706,606624696,0.82383,0.66240,1.2437
large-K,1185,2477,30191,fp32,N,N,2477,1185,N,N,556,-606605116,606605106,6.79529,5.46695,1.2430
large-K,3352,3092,14107,fp16,N,N,3092,3352,N,N,223,-606624186,606624176,3.13315,2.52266,1.2420
large-K,2352,2836,16465,fp16,N,N,2836,2352,N,N,223,-606603351,606603341,2.60975,2.10320,1.2409
large-K,248,1476,26453,fp32,T,N,1476,248,N,T,539,-606603840,606603830,0.78855,0.63561,1.2406
large-K,174,4534,14313,bf16,T,T,4534,174,T,T,39,-606619903,606619893,0.54571,0.44109,1.2372
large-K,2617,2516,19631,fp16,T,N,2516,2617,N,T,382,-606622952,606622942,3.05373,2.47291,1.2349
large-K,1331,913,8689,fp32,N,T,913,1331,T,N,612,-606618439,606618429,0.96102,0.78209,1.2288
large-K,17938,1040,13943,bf16,N,N,1040,17938,N,N,388,-606605177,606605167,5.95117,4.84304,1.2288
large-K,2000,2476,9015,bf16,N,N,2476,2000,N,N,273,-606605361,606605351,1.10691,0.90151,1.2278
large-K,267,755,23565,fp32,N,N,755,267,N,N,556,-606605112,606605102,0.63707,0.52072,1.2234
