M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
9,285,18940,bf16,T,N,80,-620,0.04618,0.57940,12.5466,4,18,241.4,0,0.9640
1920,14000,13877,fp16,T,T,22,-621291507,1.67636,1.79839,1.0728,4,6,327.7,0,0.7183
2,8,13,fp32,T,T,44,-621291438,0.00651,0.00618,0.9497,4,1594,0.1,0,0.9710
7595,14157,1892,fp16,N,N,17,-621294415,0.99169,1.14239,1.1520,4,9,516.7,0,0.8570
3269,1,98,fp16,N,T,28,-9,0.00435,0.02830,6.5061,4,291,150.4,0,0.9693
6,27,20,fp32,N,N,368,-621284002,0.00555,0.00578,1.0406,4,1738,0.6,0,0.9909
130,51,11107,fp32,T,T,66,-621283250,0.10915,0.68634,6.2879,4,15,73.9,0,0.9977
287,2947,675,fp32,N,T,312,-621293101,0.01984,0.02038,1.0270,4,380,610.5,0,0.7925
19,115,1800,fp16,N,T,33,-409,0.03698,0.07854,2.1238,4,114,13.3,0,1.1478
296,957,3300,bf16,T,T,20,-621285691,0.12772,0.12785,1.0010,4,68,73.6,0,1.0046
6,10028,11524,bf16,T,T,4,-150,0.77089,1.34956,1.7507,4,8,300.3,0,1.0115
4,11,4,bf16,T,T,4,-153,0.00581,0.00597,1.0286,4,1646,0.1,0,0.9714
3,18,16,fp32,T,N,172,-621284042,0.00563,0.00577,1.0258,4,1643,0.3,0,1.0103
530,2642,284,fp16,T,N,71,-621296104,0.02167,0.03145,1.4517,4,260,341.7,0,1.0179
2,10,22179,fp16,N,T,33,-409,0.40807,0.70747,1.7337,4,15,1.3,0,0.9884
6,3,22411,fp16,N,T,33,-409,0.39447,0.71423,1.8106,4,14,1.0,0,0.9461
210,3848,1278,bf16,T,N,76,-621289995,0.04063,0.07490,1.8436,4,127,334.9,0,1.1606
879,7838,182,fp32,N,T,314,-621283530,0.04116,0.04929,1.1975,4,172,823.7,0,0.8531
16880,16007,10289,fp16,T,N,71,-621296118,10.79517,12.48115,1.1562,4,5,162.8,0,0.7265
66,13,2,bf16,N,N,17,-257,0.00689,0.02447,3.5531,4,363,0.5,0,1.0488
