M,N,K,dtype,opA,opB,beta,rb_def_ms,rb_best_ms,lt_h0_ms,lt_besth_ms,lt_all_ms,tf_rb_def,tf_rb_best,tf_lt_h0,tf_lt_besth,tf_lt_all,n_rb_sol,n_lt_heur,n_lt_all,n_lt_ok,nrot,reps,clk_drift
17998,5336,5444,fp16,T,T,0,2.15223,2.13662,11.42659,1.99328,1.91306,485.85,489.40,91.51,524.59,546.59,22,64,1024,3,4,5,0.7170
2641,788,331,fp16,N,N,0,0.03897,0.02471,0.01476,0.01464,0.01460,35.35,55.76,93.31,94.11,94.37,17,64,1024,3,4,228,0.9779
6662,3554,8367,bf16,T,T,0,1.07869,1.09876,0.66026,0.71133,0.70292,367.30,360.60,600.07,556.99,563.66,20,64,1024,3,4,9,0.7457
5750,46,2,fp16,T,N,0,0.01740,0.00599,0.00608,0.00608,0.00599,0.06,0.18,0.17,0.17,0.18,71,64,1024,3,4,507,0.9583
2909,140,2265,fp32,N,N,0,0.04564,0.03740,0.03515,0.03425,0.03777,40.42,49.33,52.49,53.86,48.85,310,64,1024,3,4,218,0.8393
15050,16,598,fp32,N,T,0,0.01871,0.01436,0.01478,0.01808,0.01331,15.39,20.05,19.49,15.93,21.64,408,64,1024,3,4,468,1.0154
9923,342,29592,bf16,N,T,0,1.11002,0.70570,0.52640,0.47010,0.44861,180.94,284.61,381.56,427.25,447.71,32,64,889,3,4,9,0.7327
1,15,2,fp32,T,T,0,0.00871,0.00538,0.00898,0.00875,0.00872,0.00,0.00,0.00,0.00,0.00,21,64,89,3,4,1526,0.9523
24874,15330,583,fp32,N,N,0,4.88176,4.29328,4.34662,4.32313,4.37104,91.08,103.56,102.29,102.85,101.72,292,64,1024,3,4,5,0.6713
1205,89,12,bf16,T,T,0,0.01513,0.00866,0.00896,0.00892,0.00884,0.17,0.30,0.29,0.29,0.29,20,64,1024,3,4,544,0.9498
6877,1707,8038,fp32,N,N,0,2.09234,1.90162,1.77054,1.81204,1.78669,90.19,99.24,106.59,104.15,105.62,292,64,1024,3,4,5,0.6605
4,54,157,bf16,T,T,0,0.00984,0.00944,0.00727,0.00720,0.00716,0.01,0.01,0.01,0.01,0.01,4,64,338,3,4,855,0.9102
3200,534,157,fp16,N,T,0,0.03260,0.01991,0.01111,0.00894,0.00904,16.46,26.96,48.30,60.02,59.34,27,64,889,3,4,268,0.9654
89,58,767,bf16,T,N,0,0.05161,0.02804,0.00889,0.00898,0.00908,0.15,0.28,0.89,0.88,0.87,69,64,1024,3,4,182,0.9862
1943,9201,12077,fp16,N,N,0,1.11955,1.00142,0.85721,0.85337,0.81545,385.70,431.20,503.74,506.01,529.54,17,64,940,3,4,9,0.7243
110,4,9926,bf16,T,T,0,0.35354,0.34452,0.00906,0.00892,0.00904,0.02,0.03,0.96,0.98,0.97,20,64,1024,3,4,29,0.9430
22544,15892,7256,bf16,N,N,0,14.72021,10.33582,8.70596,8.64515,8.64495,353.20,503.03,597.20,601.40,601.41,17,64,940,3,4,5,0.7187
5547,1228,2777,fp16,N,N,0,0.15396,0.14175,0.11604,0.10855,0.10717,245.73,266.90,326.02,348.53,353.02,22,64,1024,3,4,68,0.6265
2669,31041,1707,fp32,T,N,0,2.98022,2.74393,2.70605,2.63455,2.65177,94.91,103.08,104.52,107.36,106.66,296,64,1024,3,4,5,0.6351
2283,11,4,fp32,T,T,0,0.00705,0.00695,0.00716,0.00728,0.00679,0.03,0.03,0.03,0.03,0.03,66,64,1024,3,4,1567,0.9370
960,172,11369,fp16,T,N,0,0.40859,0.23619,0.03236,0.03400,0.03265,9.19,15.90,116.04,110.43,115.01,78,64,1024,3,4,25,0.9120
99,26,24,bf16,T,T,0,0.01428,0.00716,0.00730,0.00730,0.00723,0.01,0.02,0.02,0.02,0.02,20,64,1024,3,4,576,0.9412
6438,1313,25,bf16,N,N,0,0.03039,0.02068,0.02841,0.02117,0.02083,13.91,20.44,14.88,19.97,20.29,17,64,940,3,4,316,0.9719
3,8,11,fp32,N,N,0,0.00716,0.00666,0.00686,0.00689,0.00678,0.00,0.00,0.00,0.00,0.00,400,64,1024,3,4,1604,0.9387
35,4048,43,fp16,T,T,0,0.01647,0.00715,0.00710,0.00707,0.00714,0.74,1.70,1.72,1.72,1.71,22,64,1024,3,4,482,1.0040
4754,2387,4689,fp16,N,T,0,0.28333,0.28015,0.22150,0.21927,0.22579,375.61,379.87,480.44,485.33,471.32,27,64,889,3,4,31,0.7325
5,1161,23699,fp32,N,T,0,0.04025,0.03799,0.03707,0.03641,0.03949,6.84,7.24,7.42,7.56,6.97,368,64,1024,3,4,210,0.6342
4221,2901,6992,fp16,N,T,0,0.50828,0.41322,0.33707,0.32266,0.33244,336.89,414.39,508.02,530.70,515.09,27,64,889,3,4,19,0.7275
2802,1,85,fp32,N,T,0,0.00708,0.00379,0.00685,0.00682,0.00678,0.07,0.13,0.07,0.07,0.07,327,64,1024,3,4,1463,0.9555
10,1394,6,fp16,N,T,0,0.02209,0.00694,0.00719,0.00723,0.00719,0.01,0.02,0.02,0.02,0.02,27,64,889,3,4,412,0.9569
22,32,6,fp32,N,N,0,0.00852,0.00778,0.00820,0.00837,0.00841,0.00,0.00,0.00,0.00,0.00,382,64,1024,3,4,1481,0.9622
7591,1,27,fp16,N,N,0,0.00623,0.00651,0.00613,0.00615,0.00613,0.07,0.06,0.07,0.07,0.07,2,10,10,3,4,1232,0.9864
32334,72,190,fp32,N,T,0,0.03167,0.02254,0.02116,0.02048,0.02209,27.93,39.25,41.81,43.21,40.04,407,64,1024,3,4,329,0.9247
6417,1169,87,fp16,N,T,0,0.03318,0.02220,0.02423,0.02031,0.02025,39.34,58.80,53.87,64.26,64.47,27,64,889,3,4,254,0.8367
11355,18671,1506,bf16,N,T,0,1.66014,1.55855,1.48923,1.34234,1.33385,384.65,409.72,428.79,475.71,478.74,27,64,889,3,4,7,0.6497
782,901,48,fp16,T,N,0,0.02221,0.00806,0.00834,0.00835,0.00824,3.05,8.39,8.11,8.10,8.21,71,64,1024,3,4,369,0.9791
14064,3314,11028,fp16,T,T,0,2.09126,2.06438,11.27400,1.90087,1.82652,491.56,497.97,91.18,540.80,562.81,22,64,1024,3,4,5,0.7307
9807,13954,35,fp32,N,N,0,0.42914,0.22628,0.26130,0.25904,0.25072,22.32,42.33,36.66,36.98,38.21,264,64,1024,3,4,22,0.7492
13250,820,1695,fp16,N,T,0,0.14458,0.14251,0.10757,0.10127,0.10379,254.75,258.46,342.40,363.69,354.87,33,64,889,3,4,56,0.7344
337,10,5299,fp16,T,N,0,0.19913,0.05322,0.00962,0.00930,0.00890,0.18,0.67,3.71,3.84,4.01,78,64,1024,3,4,49,1.0594
159,1785,4877,fp16,N,N,0,0.16285,0.16474,0.03034,0.02871,0.02970,17.00,16.80,91.24,96.43,93.21,22,64,1024,3,4,55,0.9714
167,26936,31,fp16,T,N,0,0.01601,0.01482,0.02032,0.01303,0.01138,17.42,18.81,13.72,21.40,24.51,71,64,1024,3,4,532,0.9849
90,15055,3,fp16,T,N,0,0.02425,0.00718,0.00850,0.00804,0.00730,0.34,1.13,0.96,1.01,1.11,71,64,1024,3,4,377,0.9947
21533,13,7,bf16,T,N,0,0.01939,0.00707,0.00733,0.00722,0.00712,0.20,0.55,0.53,0.54,0.55,69,64,1024,3,4,433,1.0031
2831,8614,1686,bf16,T,N,0,0.21299,0.20032,0.26329,0.21802,0.20128,386.08,410.49,312.32,377.17,408.54,69,64,1024,3,4,38,0.6843
180,1,29290,bf16,N,T,0,0.93222,0.03042,0.01127,0.01156,0.01141,0.01,0.35,0.94,0.91,0.92,33,64,889,3,4,11,0.9716
1448,9859,436,bf16,T,N,0,0.08105,0.06173,0.08051,0.06462,0.05699,153.60,201.67,154.63,192.64,218.42,69,64,1024,3,4,122,0.6721
69,65,3,fp32,T,T,0,0.00712,0.00685,0.00712,0.00713,0.00674,0.00,0.00,0.00,0.00,0.00,66,64,1024,3,4,1535,1.1421
12,19,1349,fp32,T,N,0,0.01097,0.00943,0.00706,0.00708,0.00708,0.06,0.07,0.09,0.09,0.09,342,64,1024,3,4,813,0.9730
