M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
1697,863,871,fp16,N,T,68,606629440,0.05466,0.06650,1.2166
2493,294,32922,bf16,T,T,39,606606709,0.92510,1.00197,1.0831
3769,9734,2900,fp32,T,N,576,606613811,5.40494,5.42254,1.0033
2420,2732,567,fp16,N,N,223,606601461,0.10567,0.11933,1.1293
1796,8647,329,bf16,T,N,231,606614196,0.16368,0.30052,1.8360
3606,938,2355,bf16,T,T,39,606606724,0.20023,0.19754,0.9866
1685,6090,28899,fp32,N,T,702,606630787,15.99434,30.09674,1.8817
8880,577,23188,fp32,N,T,702,606611345,6.56361,7.67047,1.1686
1738,2291,852,fp32,T,N,576,606613615,0.19475,0.19450,0.9987
2198,290,691,fp32,N,N,580,606612363,0.04019,0.05021,1.2492
6338,11767,2375,bf16,N,T,57,606610456,3.49467,8.09717,2.3170
9776,6144,37440,fp32,T,T,82,606614463,115.11452,222.60571,1.9338
751,7832,39780,fp32,N,N,580,606612627,12.40295,13.60428,1.0969
1318,267,2327,bf16,N,N,176,606627919,0.06042,0.06099,1.0095
19635,5122,320,fp16,T,T,88,606615750,1.21627,1.21413,0.9982
447,3136,556,fp16,T,N,519,606630372,0.02784,0.03958,1.4218
2892,491,645,fp32,T,N,576,606613615,0.06554,0.06803,1.0381
8054,305,3690,fp16,N,N,101,606601457,0.22775,1.68943,7.4180
610,5674,9667,fp32,N,T,702,606630842,1.85935,2.18886,1.1772
1434,479,18954,fp32,T,N,576,606613892,0.81889,1.20753,1.4746
1513,5635,11704,bf16,N,T,57,606610382,1.97132,3.71642,1.8852
379,4908,971,fp32,T,T,82,606614505,0.12221,0.16995,1.3907
9860,588,9687,fp16,N,N,223,606601489,1.02321,1.16094,1.1346
1798,7202,1703,bf16,N,T,57,606629894,0.50557,1.87788,3.7143
3648,18213,1210,bf16,N,T,57,606610457,1.65144,7.87784,4.7703
5106,271,4649,bf16,N,N,174,606601902,0.21066,0.27767,1.3181
686,345,386,fp16,N,T,62,606629454,0.01469,0.04365,2.9717
15754,14076,1868,fp16,N,N,223,606601559,6.79262,7.01851,1.0333
6840,609,13566,fp32,N,N,580,606631086,3.19120,5.61094,1.7583
600,17699,995,fp16,N,T,62,606608709,0.29005,1.03771,3.5777
5211,256,39852,fp32,N,T,704,606630837,3.21968,3.46167,1.0752
311,2717,2014,fp16,N,T,68,606629427,0.06102,0.21933,3.5941
558,522,437,fp32,T,T,82,606614493,0.02038,0.02653,1.3014
4668,4483,10972,fp32,N,N,580,606631104,11.78277,26.77242,2.2722
