M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
308,3576,8536,bf16,N,T,32,-621286334,0.17415,0.29291,1.6820
349,3537,3199,bf16,N,T,32,-621286334,0.08369,0.13066,1.5613
515,2742,315,bf16,T,T,20,-621283243,0.02856,0.02798,0.9795
16290,12603,19836,fp16,N,T,27,-621282020,12.17901,12.56022,1.0313
470,4917,2031,bf16,N,T,32,-621286334,0.06204,0.09288,1.4972
563,757,5439,fp32,T,T,66,-621291337,0.05821,0.07166,1.2311
288,846,1992,fp32,T,N,369,-621295246,0.01798,0.02146,1.1934
365,5354,36775,fp16,T,T,22,-621293051,1.46879,1.46573,0.9979
3847,13159,4795,fp32,N,N,292,-621294913,3.79373,4.08235,1.0761
1596,8817,10465,fp16,T,N,71,-621286359,0.53822,0.57673,1.0716
12064,2123,36390,fp16,T,N,71,-621286387,3.05127,4.05850,1.3301
4482,6090,3954,fp32,T,N,335,-621290405,1.61841,1.75110,1.0820
3538,432,19401,bf16,T,N,79,-621292331,0.39380,0.59765,1.5177
8116,11883,1612,bf16,T,N,69,-621292324,0.55363,0.59339,1.0718
14147,1563,2395,fp16,T,T,22,-621293055,0.25921,0.27741,1.0702
5717,654,23040,fp32,T,N,310,-621295117,1.62535,2.61815,1.6108
11681,1568,3822,fp16,T,N,71,-621286381,0.23523,0.40378,1.7165
503,5911,30843,fp32,T,T,66,-621295678,1.78499,2.09299,1.1725
14735,16178,2978,fp16,N,T,27,-621282033,2.36995,2.59312,1.0942
15678,383,27806,fp32,N,T,313,-621293404,2.88735,7.42642,2.5721
10914,7508,1419,fp32,T,N,296,-621290353,1.79049,1.93840,1.0826
17151,1004,385,fp16,T,T,22,-621293045,0.04775,0.06700,1.4030
409,5404,256,fp32,T,T,66,-621291327,0.01631,0.01753,1.0747
686,690,402,fp16,N,T,27,-621282030,0.02529,0.03791,1.4989
